track_id,track_name,artist_id,artist_name,album_id,album_name,release_date
1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,7ARtQpvnPN2ucbmVHngLOs,Until I Found You (Em Beihold Version),2022-04-22
7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,6t5D6LEgHxqUVOxJItkzfb,All Your Fault: Pt. 2,2017-08-11
1w327AHTCoChRIkJUprAnV,Mirage,2efrqekWSHlvhATD50AG3m,Orion Sun,1Ckbuzoh1dYKFnpNYmVEof,A Collection of Fleeting Moments and Daydreams,2020-01-06
56EHUGhfdO8zo051AA6vzx,On Repeat,3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,6nBlbvRNxmgfdg4hQnRhQq,New Beats,2022-12-02
3lG6OtGDsYAOALxEmubQQm,Happiness is a butterfly,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,5XpEKORZ4y6OrCZSKsi46A,Norman Fucking Rockwell!,2019-08-30
1TJcauqNPNHoqxl2ACklOJ,Love Me More,2wY79sveU1sp5g7SokKOiI,Sam Smith,3TUJOVHZg4qfCIWXjZAQ8P,You Are Not Alone,2022-11-25
26uWcFPeunNydCH7rl7nyA,Keeping Your Head Up - Jonas Blue Remix; Radio Edit [Radio Edit],2WX2uTcsvV5OnS0inACecP,Birdy,3er2BNkkRFdjHEKySKwjkX,Keeping Your Head Up (Jonas Blue Remix; Radio Edit),2016-03-18
2yc1uYG7OdWCZex6eChlWR,Don't Start Now,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,4ekdSDJ0HQUkvpLLU2enWN,Hits Brasil,2022-11-25
1diS6nkxMQc3wwC4G1j0bh,We're Good,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,0JeyP8r2hBxYIoxXv11XiX,Future Nostalgia (The Moonlight Edition),2021-02-11
6bzwoiUt0s1KDOedyy4OtQ,High School,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,78XjkzI0J1YpzKUPgzWbat,Pink Friday: Roman Reloaded The Re-Up,2012-01-01
12PQSxkJ0Y1x8vOJgT5Ovc,Levitating,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,6tHHlfb76Js91FRIZsFbOS,Hot Right Now,2022-12-02
1f0tj0IQ28OXq7hS0Rz0LH,Ocean Views,0EeQBlQJFiAfJeVN2vT9s0,Nipsey Hussle,6pAP6aJ2SUmhE9VXB8bm02,Slauson Boy 2,2017-12-10
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,1vCWHaC5f2uS3yhpwWbIA6,Avicii,2H6i2CrWgXE1HookLu8Au0,True,2013-01-01
0DILU9jjSTnCv1dcbUH3ib,Sick and Tired (ft. Machine Gun Kelly and Travis Barker),6ASri4ePR7RlsvIQgWPJpS,iann dior,4Wb5bU9FkmZ84WkkL37rKA,I'm Gone,2020-06-12
37Nqx7iavZpotJSDXZWbJ3,Girls Want Girls (with Lil Baby),3TVXtAsR1Inumwj472S9r4,Drake,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03
